timestamp,1,2,3,4,5,6
0,931,0,0,0,0,0
1,931,0,0,0,0,0
2,931,0,0,0,0,0
3,931,0,0,0,0,0
4,931,0,0,0,0,0
5,931,0,0,0,0,0
6,931,0,0,0,0,0
7,931,0,0,0,0,0
8,931,0,0,0,0,0
9,931,0,0,0,0,0
10,931,0,0,0,0,0
11,931,0,0,0,0,0
12,931,0,0,0,0,0
13,931,0,0,0,0,0
14,931,0,0,0,0,0
15,931,0,0,0,0,0
16,931,0,0,0,0,0
17,931,0,0,0,0,0
18,931,0,0,0,0,0
19,931,0,0,0,0,0
20,0,68,0,0,0,0
21,0,68,0,0,0,0
22,0,68,0,0,0,0
23,0,68,0,0,0,0
24,0,68,0,0,0,0
25,0,68,0,0,0,0
26,0,68,0,0,0,0
27,0,68,0,0,0,0
28,0,68,0,0,0,0
29,0,68,0,0,0,0
30,0,68,0,119,1857,0
31,0,68,0,119,1857,0
32,0,68,0,119,1857,0
33,0,68,0,0,0,0
34,0,68,0,0,0,0
35,0,68,0,0,0,0
36,0,68,0,0,0,0
37,0,68,0,0,0,0
38,0,68,0,0,0,0
39,0,68,0,0,0,0
40,0,0,0,119,1857,0
41,0,0,0,119,1857,0
42,0,68,0,0,1857,0
43,0,68,0,0,1857,0
44,0,68,0,0,1857,0
45,0,68,0,0,1857,0
46,0,68,0,0,1857,0
47,0,68,0,0,1857,0
48,0,68,0,0,1857,0
49,0,68,0,0,1857,0
50,0,0,0,119,1857,0
51,0,0,0,119,1857,0
52,0,68,0,0,1857,0
53,0,68,0,0,1857,0
54,0,68,0,0,1857,0
55,0,68,0,0,1857,0
56,0,68,0,0,1857,0
57,0,68,0,0,1857,0
58,0,68,0,0,1857,0
59,0,68,0,0,1857,0
60,0,68,0,0,0,1342
61,0,68,0,0,0,1342
62,0,68,0,0,0,1342
63,0,68,0,0,0,1342
64,0,68,0,0,0,1342
65,0,68,0,0,0,1342
66,0,68,0,0,0,1342
67,0,68,0,0,0,1342
68,0,68,0,0,0,1342
69,0,68,0,0,0,1342
70,0,68,0,0,0,1342
71,0,68,0,0,0,1342
72,0,68,0,0,0,1342
73,0,68,0,119,0,1342
74,0,68,0,119,0,1342
75,0,68,0,119,0,1342
76,0,68,0,119,0,1342
77,0,68,0,119,0,1342
78,0,68,0,119,0,1342
79,0,68,0,119,0,1342
80,0,68,0,119,0,0
81,0,68,0,119,0,0
82,0,68,0,119,0,0
83,0,68,0,119,0,0
84,0,68,0,119,0,0
85,0,68,0,119,0,0
86,0,68,0,119,0,0
87,0,68,0,119,0,0
88,0,68,0,119,0,0
89,0,68,0,119,0,0
90,0,68,0,119,0,0
91,0,68,0,119,0,0
92,0,68,0,119,0,0
93,0,68,0,119,0,0
94,0,68,0,119,0,0
95,0,68,0,119,0,0
96,0,68,0,119,0,1342
97,0,68,0,119,0,1342
98,0,68,0,119,0,1342
99,0,0,0,119,0,1342
100,0,0,0,119,0,1342
101,0,0,0,119,0,1342
102,0,0,1262,119,0,0
103,0,0,1262,119,0,0
104,0,0,1262,119,0,0
105,0,0,1262,119,0,0
106,0,0,0,119,1857,1342
107,0,0,0,119,1857,1342
108,0,0,0,119,1857,1342
109,0,0,0,119,1857,1342
110,0,68,1262,119,1857,0
111,0,68,1262,119,1857,0
112,0,0,1262,119,0,0
113,0,0,1262,119,0,0
114,0,0,1262,119,0,0
115,0,0,1262,119,0,0
116,0,0,1262,119,0,0
117,0,0,1262,119,0,0
118,0,0,1262,119,0,0
119,0,0,1262,119,0,0
120,0,0,0,0,0,1342
121,0,0,0,0,0,1342
